DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;TIPO;FECHA_SOLICITUD;RAZON_SOCIAL;NUMERO_RESOLUCION;FECHA_EMISION;FECHA_VENCIMIENTO;PLACA;ANO_FABRICACION;PESO_BRUTO;NUMERO_TUC_MTC;TIPO_CARGA;FECHA_CORTE
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250820;MELODY E.I.R.L.;2924-2025;20250822;20300822;�BJI777;2021;12;25M25000027E;CARGA GENERAL;20250930
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250820;MELODY E.I.R.L.;2924-2025;20250822;20300822;�BLO862;2022;8;�25M25000029E;CARGA GENERAL;20250930
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250820;MELODY E.I.R.L.;2924-2025;20250822;20300822;�W6U748;2021;6.9;25M24000055E;CARGA GENERAL;20250930
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250820;MELODY E.I.R.L.;2924-2025;20250822;20300822;�BZD871;2024;3.495;�25M24000054E;CARGA GENERAL;20250930
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250820;MELODY E.I.R.L.;2924-2025;20250822;20300822;�BZR732;2024;3.3;�25M25000003E;CARGA GENERAL;20250930
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250820;MELODY E.I.R.L.;2924-2025;20250822;20300822;�CBE830;2024;3.1;�25M25000005E;CARGA GENERAL;20250930
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250820;MELODY E.I.R.L.;2924-2025;20250822;20300822;�CBP830;2024;3.1;�25M25000004E;CARGA GENERAL;20250930
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250820;ZETA GAS ANDINO S.A.;2953-2025;20250825;20280910;CEG862;2025;0;0;CARGA DE PRODUCTOS PELIGROSOS;20250930
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250820;ZETA GAS ANDINO S.A.;2953-2025;20250825;20280910;CEG873;2025;0;0;CARGA DE PRODUCTOS PELIGROSOS;20250930
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250820;ZETA GAS ANDINO S.A.;2953-2025;20250825;20280910;CEG937;2025;0;0;CARGA DE PRODUCTOS PELIGROSOS;20250930
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250820;ZETA GAS ANDINO S.A.;2953-2025;20250825;20280910;CEH803;2025;0;0;CARGA DE PRODUCTOS PELIGROSOS;20250930
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250820;ZETA GAS ANDINO S.A.;2953-2025;20250825;20280910;CEH897;2025;0;0;CARGA DE PRODUCTOS PELIGROSOS;20250930
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250820;ZETA GAS ANDINO S.A.;2953-2025;20250825;20280910;CEH780;2025;0;0;CARGA DE PRODUCTOS PELIGROSOS;20250930
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250820;ZETA GAS ANDINO S.A.;2953-2025;20250825;20280910;CEH845;2025;0;0;CARGA DE PRODUCTOS PELIGROSOS;20250930
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250820;ZETA GAS ANDINO S.A.;2953-2025;20250825;20280910;CEH804;2025;0;0;CARGA DE PRODUCTOS PELIGROSOS;20250930
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250820;ZETA GAS ANDINO S.A.;2953-2025;20250825;20280910;CEH767;2025;0;0;CARGA DE PRODUCTOS PELIGROSOS;20250930
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250820;ZETA GAS ANDINO S.A.;2953-2025;20250825;20280910;CEH722;2025;0;0;CARGA DE PRODUCTOS PELIGROSOS;20250930
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250820;ZETA GAS ANDINO S.A.;2953-2025;20250825;20280910;D5O847;1993;25;0;CARGA DE PRODUCTOS PELIGROSOS;20250930
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250821;DISTRIMAX S.A.C.;2954-2025;20250825;20300825;ADT774;2014;7.8;15M24016385E;CARGA GENERAL;20250930
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250821;DISTRIMAX S.A.C.;2954-2025;20250825;20300825;D6P707;2012;6.5;15M24016383E;CARGA GENERAL;20250930
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250821;DISTRIMAX S.A.C.;2954-2025;20250825;20300825;ARZ799;2017;3.42;15M25043297E;CARGA GENERAL;20250930
